X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,Y
33750,5,0.349741904,1,121.28,kOT,30,0,kC,kM,220,kF,346.77,566.77,2500,kP,2,k0,k5,33750,33750,725,k72,k10,kD,479.72,14.69,32,kO,kN,k3,0
486921.64,26,0.329884343,0,270.68,kOT,62,252.57,kS,kM,395,kM,820.53,1215.53,10000,kP,1,k0,k5,486921.64,486669.07,1455,k110,k10,kD,33.33,13,64,kO,kN,k3,0
73575,8,0.48287931,0,280.07,kOT,69,2073,kC,kM,562,kM,580,1142,10000,kP,2,k0,k1,73575,71502,1462,k26,k10,kD,5.81,14.69,68,kO,kN,k4,0
23000,53,10.11835,0,2023.67,kOT,77,0,kC,kM,170,kF,200,370,2000,kS,1,k0,k3,23000,23000,32,k03,k10,kI,359.22,13.5,77,kO,kF,k3,0
75000,46,7.950538462,0,4134.28,kOT,63,0,kC,kM,180,kF,520,700,4000,kP,2,k0,k3,75000,75000,87,k67,k10,kI,5183.78,13.5,63,kO,kF,k3,0
75087,7,0.555374593,0,341,kOT,54,16285,kD,kM,558,kF,614,1172,10000,kS,2,k0,k4,75087,58802,1099,k42,k10,kD,5.6,13,57,kO,kN,k3,0
5000,1,0.226031128,1,174.27,kOT,41,0,kD,kM,130,kF,771,901,5000,kS,1,k0,k3,5000,5000,1098,k23,k10,kD,406.66,14.69,43,kO,kN,k4,0
14743,15,0.356640523,2,272.83,kOT,43,0,kC,kM,350,kM,765,1115,10000,kS,2,k0,k8,14743,14743,1475,k27,k17,kD,503.65,13,43,kO,kN,k3,0
5000,8,0.185612245,1,90.95,kOT,29,0,kS,kM,310,kM,490,800,1000,kS,1,k0,k6,5000,5000,378,k111,k10,kD,1.15,14.69,28,kO,kF,k3,0
10135.4,3,0.402653846,0,209.38,kOT,24,0,kS,kM,130,kM,520,650,6000,kS,4,k0,k3,10135.4,10135.4,1101,k08,k10,kD,6.1,14.69,25,kO,kF,k4,0
127060.94,19,0.423334326,3,327.03,kOT,42,25598.78,kC,kM,858.1,kM,772.51,1630.61,12000,kS,3,k0,k7,127060.94,101462.16,1472,k28,k17,kD,16.82,13,44,kO,kN,k3,0
18674,23,0.575509642,3,208.91,kOT,44,0,kC,kM,420,kM,363,783,6000,kP,3,k0,k8,18674,18674,1096,k55,k17,kD,5.1,14.69,45,kR,kN,k3,0
67790.55,15,0.196141615,0,92.52,kOT,67,0,kD,kM,160,kF,471.7,631.7,1500,kS,6,k0,k3,67790.55,67790.55,547,k26,k10,kD,918.05,13,71,kO,kN,k3,0
11045,7,0.301596491,0,171.91,kOT,33,3293,kS,kM,220,kM,570,790,6100,kP,2,k0,k8,11045,7752,1476,k22,k17,kD,304.59,14.69,35,kO,kF,k3,0
19500,1,0.393070423,1,279.08,kOT,29,6238,kS,kM,290,kM,710,1000,10000,kS,2,k0,k6,19500,13262,1455,k08,k10,kD,15.13,14.69,30,kO,kS,k4,0
30871,5,0.166887417,1,126,kOT,29,5691,kD,kM,255,kF,755,1010,2000,kS,2,k0,k4,30871,25180,549,k38,k10,kD,687.29,14.69,31,kO,kN,k3,0
12790,4,0.205882353,0,175,kOT,23,2369,kS,kM,140,kM,850,990,5000,kS,2,k0,k4,12790,10421,1101,k117,k10,kD,1397.66,14.69,24,kO,kF,k3,0
18311,3,0.240480769,2,125.05,kOT,40,5173,kC,kM,880,kF,520,1400,2000,kP,3,k0,k8,18311,13138,547,k117,k17,kD,7.07,14.69,41,kO,kF,k3,0
58741.95,24,0.294248306,2,464.98,kOT,45,0,kC,kM,450,kF,1580.23,2030.23,3500,kU,4,k0,k3,58741.95,58741.95,254,k29,k10,kD,15.48,14.69,47,kR,kN,k3,0
64437.55,3,0.37412495,0,169.95,kOT,49,7154.53,kC,kM,445.74,kF,454.26,900,5000,kP,3,k0,k3,64437.55,57283.02,1096,k107,k10,kD,5.11,13,52,kO,kN,k3,0
37371.2,2,0.607526882,0,226,kOT,26,17152,kC,kM,833,kM,372,1205,8000,kS,1,k0,k4,37371.2,20219.2,1472,k117,k10,kD,29.55,14.69,29,kO,kN,k3,0
131206.75,20,0.401198136,2,90.41,kOT,46,3564.6,kD,kM,301,kF,225.35,526.35,1000,kS,1,k0,k3,131206.75,127642.15,366,k82,k10,kD,9.1,14.69,46,kO,kN,k3,0
48714,8,0.329710145,0,273,kOT,28,14217,kC,kM,821,kM,828,1649,10000,kU,1,k0,k4,48714,34497,1471,k80,k10,kD,5.03,13,27,kO,kF,k3,0
28987.32,1,0.179478827,1,110.2,kOT,27,7065.66,kC,kM,336,kM,614,950,1500,kU,3,k0,k3,28987.32,21921.66,448,k42,k10,kD,0.61,14.69,30,kO,kF,k3,0
5000,2,0.153208882,1,236.53,kOT,29,0,kS,kM,456.16,kF,1543.84,2000,8400,kS,1,k0,k9,5000,5000,1474,k85,k17,kD,181.7,14.69,31,kO,kF,k4,0
17500,36,0.395458515,0,90.56,kOT,59,9448,kD,kM,498,kF,229,727,1000,kU,1,k0,k6,9448,0,370,k29,k10,kD,118.87,14.69,58,kO,kS,k3,0
178000,12,0.640516432,0,272.86,kOT,67,0,kC,kM,175,kM,426,601,10000,kP,2,k0,k2,178000,178000,1475,k26,k10,kD,1440.1,13,70,kO,kN,k3,0
18420,13,0.212582054,1,91,kOT,49,362,kC,kM,350,kM,428.07,778.07,1000,kP,2,k0,k4,18420,18058,376,k133,k10,kD,1536.85,14.69,52,kO,kN,k3,0
44622,2,0.476483932,2,252.06,kOT,45,9356,kC,kM,860,kM,529,1389,9000,kS,1,k0,k1,44622,35266,1462,k26,k10,kD,2354.35,14.69,45,kO,kN,k3,0
5000,3,0.36193985,0,90.38,kOT,23,4018.82,kS,kM,432,kM,249.71,681.71,1000,kS,2,k0,k3,5000,981.18,365,k21,k10,kD,8.24,14.69,25,kO,kF,k3,0
91242.63,8,0.405925771,2,545,kOT,44,32445,kC,kM,643,kM,1342.61,1985.61,20000,kS,4,k0,k4,91242.63,58797.63,1471,k08,k10,kD,0.83,13,46,kO,kN,k3,0
436770.34,26,0.184128678,2,300.15,kOT,53,27122.93,kC,kM,1217.88,kM,1630.11,2847.99,11000,kS,2,k0,k2,436770.34,409647.41,1475,k26,k10,kD,75.73,13,53,kO,kN,k3,0
5000,8,0.399810916,1,156.47,kOT,49,1296.5,kD,kM,270,kF,391.36,661.36,2500,kS,3,k0,k7,5000,3703.5,550,k96,k17,kD,9,14.69,52,kO,kF,k3,0
67957.56,-1,0.345031211,1,276.37,kOT,44,14072,kC,kM,990,kF,801,1791,10000,kU,2,k0,k1,67957.56,53885.56,1474,k12,k10,kD,5.2,13.69,46,kR,kN,k3,0
7457,4,0.280973054,1,187.69,kOT,27,1343,kC,kM,368,kM,668,1036,3000,kS,1,k0,k1,7457,6114,547,k41,k10,kD,5.1,14.69,28,kO,kF,k3,0
3600,5,0.349302326,1,90.12,kOT,35,2600,kD,kM,390,kF,258,648,1000,kU,1,k0,k6,3600,1000,379,k29,k10,kD,6.16,13,34,kO,kS,k3,0
5000,3,0.480580645,0,223.47,kOT,29,3899.71,kS,kM,510,kM,465,975,8000,kS,2,k0,k9,5000,1100.29,1456,k77,k17,kD,5.1,14.69,28,kR,kF,k4,1
147198,3,1.199779736,0,272.35,kOT,57,19518,kC,kM,1195,kM,227,1422,10000,kP,1,k0,k2,147198,127680,1470,k26,k10,kD,6.38,13,57,kO,kN,k3,0
17500,18,0.483162544,2,273.47,kOT,46,13389,kD,kM,705,kF,566,1271,10000,kU,3,k0,k6,17500,4111,1481,k29,k10,kD,5.42,13,48,kO,kS,k3,0
58587.65,8,0.308706048,1,219.49,kOT,34,19257.39,kS,kM,420,kF,711,1131,8000,kU,4,k0,k2,58587.65,39330.26,1457,k29,k10,kD,17.18,13.69,36,kO,kN,k3,0
9950,24,0.546862403,0,325.58,kOT,42,2617.11,kC,kM,280,kF,595.36,875.36,12000,kP,2,k0,k3,9950,7332.89,1461,k42,k10,kD,279.71,13,45,kO,kF,k3,0
45893.44,2,0.474369048,0,398.47,kOT,49,5500,kC,kM,250,kM,840,1090,10000,kS,3,k0,k1,45893.44,40393.44,914,k08,k10,kD,42.3,13.69,51,kO,kN,k3,0
5000,3,0.440636364,0,145.41,kOT,21,0,kS,kM,150,kM,330,480,3000,kP,1,k0,k5,5000,5000,723,k87,k10,kD,12.74,14.69,20,kO,kF,k3,0
3000,2,0.481013746,0,279.95,kOT,40,0,kS,kM,120,kM,582,702,10000,kU,1,k0,k1,3000,3000,1461,k18,k10,kD,0.11,14.69,39,kO,kF,k4,0
3000,1,0.101494242,0,94.21,kOT,26,0,kS,kM,145,kM,928.23,1073.23,1500,kU,2,k0,k3,3000,3000,558,k15,k10,kD,18.07,14.69,27,kO,kF,k3,0
3000,2,0.492087719,0,280.49,kOT,39,0,kS,kM,130,kF,570,700,10000,kS,1,k0,k1,3000,3000,547,k80,k10,kD,75.07,14.69,38,kO,kF,k3,0
36967,2,0.174664107,0,91,kOT,66,31567,kC,kM,929,kM,521,1450,1000,kU,5,k0,k4,36967,5400,368,k26,k10,kD,26.85,14.69,69,kO,kN,k3,0
46487,1,0.440140845,1,281.25,kOT,27,20505,kC,kM,775,kM,639,1414,10000,kU,2,k0,k9,46487,25982,1471,k29,k17,kD,1.44,14.69,28,kO,kF,k4,0
18137.5,1,0.250253729,0,81.37,kOT,58,2994.82,kD,kM,600,kM,325.15,925.15,900,kS,4,k0,k1,18137.5,15142.68,368,k26,k10,kD,45.95,14.69,58,kR,kN,k3,0
28774.8,11,0.312446043,2,86.86,kOT,35,2861.57,kC,kM,715,kM,278,993,500,kS,2,k0,k1,28774.8,25913.23,178,k08,k10,kD,1.61,14.69,36,kO,kN,k3,0
58312.21,19,0.284428434,0,280.29,kOT,43,17430.13,kC,kM,1238,kF,985.45,2223.45,10000,kS,1,k0,k3,58312.21,40882.08,1464,k29,k10,kD,0.11,14.69,42,kO,kN,k3,1
45703,23,0.29836886,1,321.94,kOT,49,11726,kC,kM,430,kM,1079,1509,11500,kU,1,k0,k1,45703,33977,1461,k29,k10,kD,19.54,14.69,51,kR,kN,k4,0
15000,2,0.378216667,0,453.86,kOT,29,0,kS,kM,600,kM,1200,1800,5000,kU,1,k0,k4,15000,15000,371,k17,k10,kD,4.95,14.69,28,kO,kF,k4,0
43041.55,34,0.277252349,0,175.01,kOT,55,11079.19,kD,kM,388.16,kF,631.23,1019.39,5000,kU,3,k0,k2,43041.55,31962.36,1108,k29,k10,kD,3.62,14.69,57,kO,kN,k3,0
13993.51,15,0.279924329,1,146.49,kOT,54,13434.74,kD,kM,1102.39,kM,523.32,1625.71,3000,kU,1,k0,k3,13993.51,558.77,738,k20,k10,kD,29.42,14.69,53,kO,kA,k3,0
268064.93,28,27.34600142,0,33466.31,kOT,50,100686.94,kC,kA,2038,kM,1223.81,3261.81,30000,kU,5,k0,k3,268064.93,167377.99,319,k29,k10,kD,328.89,13.5,53,kO,kN,k3,0
2500,2,0.311326923,0,161.89,kOT,22,0,kS,kM,280,kM,520,800,4000,kP,1,k0,k3,2500,2500,924,k08,k10,kD,0.04,14.69,22,kO,kF,k3,0
59693.09,3,0.443673211,0,175.14,kOT,31,17119.36,kS,kM,743.85,kM,394.75,1138.6,5000,kU,1,k0,k9,59693.09,42573.73,1108,k12,k17,kD,5.2,14.69,30,kO,kN,k3,0
5000,15,0.605791667,0,145.39,kOT,55,2938.03,kV,kM,240,kM,240,480,3000,kP,4,k0,k3,5000,2061.97,724,k02,k10,kD,330.37,14.69,57,kR,kF,k3,0
101858.4,4,0.136636364,0,90.18,kOT,62,0,kC,kM,175,kM,660,835,1000,kP,3,k0,k2,101858.4,101858.4,360,k26,k10,kD,300.17,14.69,65,kO,kN,k3,0
5000,2,0.251111111,1,219.22,kOT,31,120.02,kC,kM,301,kM,873,1174,4000,kU,2,k0,k3,5000,4879.98,648,k23,k10,kD,71.79,14.69,31,kO,kF,k3,0
15100,23,0.33,0,125.07,kOT,47,617,kC,kM,288,kM,379,667,2000,kN,2,k0,k1,15100,14483,549,k83,k10,kD,358.46,14.69,49,kO,kN,k3,0
3000,5,0.243328033,0,113.24,kOT,29,0,kS,kM,180,kF,465.38,645.38,1800,kS,3,k0,k1,3000,3000,563,k29,k10,kD,3.35,14.69,28,kR,kF,k3,0
2000,2,0.472012169,0,108.61,kOT,23,0,kS,kM,130,kM,230.1,360.1,3100,kS,1,k0,k6,2000,2000,1108,k76,k10,kD,0.11,14.69,22,kO,kF,k3,0
16800,12,0.71763028,1,327.06,kOT,45,11239.42,kD,kM,621,kF,455.75,1076.75,12000,kU,3,k0,k3,16800,5560.58,1472,k29,k10,kD,15194.57,13,47,kO,kF,k3,0
50358.76,3,0.441472324,2,157.12,kOT,35,8224.42,kC,kM,915.3,kF,355.9,1271.2,4500,kS,2,k0,k2,50358.76,42134.34,1100,k15,k10,kD,532.54,14.69,37,kO,kN,k3,0
38633.53,1,0.243298611,0,140.14,kOT,28,18739.53,kC,kM,686,kF,576,1262,4000,kS,1,k0,k1,38633.53,19894,1108,k23,k10,kD,43.85,14.69,30,kO,kN,k3,0
185487,10,0.197046223,1,174.78,kOT,54,14583,kC,kM,1166,kM,887,2053,5000,kS,2,k0,k9,185487,170904,1103,k26,k17,kD,1.86,14.69,55,kO,kN,k3,0
41904.76,13,0.571732026,1,174.95,kOT,41,13597.29,kD,kM,464,kF,306,770,5000,kU,3,k0,k2,41904.76,28307.47,1105,k32,k10,kD,304.07,14.69,43,kO,kN,k3,0
26169.62,2,0.379249821,1,175.02,kOT,29,20242.87,kC,kM,779,kM,461.49,1240.49,5000,kU,2,k0,k3,26169.62,5926.75,1106,k23,k10,kD,5.13,14.69,28,kR,kN,k3,0
14471,7,0.287704918,3,122.85,kOT,32,7891,kS,kM,450,kM,427,877,3500,kP,2,k0,k9,14471,6580,1113,k55,k17,kD,5.11,14.69,34,kO,kF,k4,0
9493,3,0.486999175,0,112.19,kOT,34,0,kS,kM,140,kM,230.37,370.37,1800,kS,1,k0,k1,9493,9493,539,k76,k10,kD,21.97,14.69,33,kO,kF,k3,0
4000,4,0.488709677,1,363.6,kOT,35,0,kC,kM,190,kF,744,934,13000,kT,2,k0,k1,4000,4000,1461,k10,k10,kD,28.46,14.69,34,kO,kF,k3,0
69293.97,5,2.234213978,1,238.48,kOT,37,46823.75,kC,kM,2193.26,kF,106.74,2300,7000,kU,2,k0,k2,69293.97,22470.22,1100,k12,k10,kD,2.1,13,39,kO,kN,k3,0
3000,6,0.937277628,0,347.73,kOT,76,0,kV,kM,130,kF,371,501,10000,kS,3,k0,k3,3000,3000,1105,k26,k10,kD,17.31,14.69,76,kO,kN,k3,0
110000,30,0.556254928,0,423.31,kOT,60,0,kV,kM,140,kF,761,901,15000,kS,2,k0,k1,110000,110000,1479,k26,k10,kD,6360.49,14.69,63,kO,kF,k3,0
45075.56,7,5.377983333,0,3226.79,kOT,44,0,kS,kA,900,kM,600,1500,3000,kS,3,k0,k5,45075.56,45075.56,369,k08,k10,kI,1018.1,13.5,44,kO,kF,k3,0
5000,8,0.30901465,1,254.18,kOT,37,3255.64,kC,kM,300,kF,822.55,1122.55,9000,kP,2,k0,k3,5000,1744.36,1481,k10,k10,kD,5.1,14.69,39,kR,kF,k3,0
79597.87,14,0.339584679,3,410.13,kOT,39,12718.27,kC,kM,1099.97,kF,1207.74,2307.71,15000,kS,2,k0,k7,79597.87,66879.6,1481,k23,k17,kD,0.34,13,38,kO,kF,k3,1
5000,2,0.217724484,1,171.04,kOT,32,2000,kS,kM,726.9,kF,785.58,1512.48,3500,kU,1,k0,k9,5000,3000,740,k80,k17,kD,4.64,14.69,31,kO,kS,k3,1
16601,4,0.435546624,0,270.91,kOT,58,212,kD,kM,276,kF,622,898,10000,kU,2,k0,k2,16601,16389,1457,k29,k10,kD,29.43,13,57,kO,kF,k3,0
44714,3,0.318046784,1,271.93,kOT,26,4393,kC,kM,525,kM,855,1380,10000,kU,3,k0,k9,44714,40321,1466,k23,k17,kD,12.99,13,27,kO,kN,k3,0
5000,1,0.371789137,1,349.11,kOT,34,3138,kC,kM,380,kM,939,1319,10000,kU,3,k0,k9,5000,1862,1100,k77,k17,kD,575.2,14.69,33,kR,kF,k4,0
18755.25,4,0.498714286,1,174.55,kOT,52,0,kD,kM,250,kF,350,600,5000,kS,1,k0,k5,18755.25,18755.25,1100,k130,k10,kD,12689.29,14.69,51,kO,kP,k3,0
79216,9,0.591209677,0,146.62,kOT,70,645,kC,kM,469,kM,248,717,3000,kP,3,k0,k1,79216,78571,745,k26,k10,kD,23.37,14.69,73,kR,kN,k3,0
24325,0,0.343380282,3,121.9,kOT,33,2509,kS,kM,415,kF,355,770,2500,kS,2,k0,k9,24325,21816,735,k22,k17,kD,11.2,14.69,34,kO,kN,k3,0
31000,1,0.217904768,1,421.43,kOT,29,4918.53,kC,kM,611.89,kF,1934.01,2545.9,15000,kS,1,k0,k1,31000,26081.47,1469,k23,k10,kD,20.25,14.69,32,kO,kF,k4,0
10500,20,37.38913296,0,5787.09,kOT,85,7377.07,kC,kM,845.22,kM,154.78,1000,5000,kP,1,k0,k2,10500,3122.93,731,k26,k10,kD,33.35,13.5,85,kO,kF,k3,0
5000,4,0.237585089,2,146.59,kOT,33,3334,kC,kM,511,kF,617,1128,3000,kS,1,k0,k8,5000,1666,740,k80,k17,kD,52.89,14.69,32,kO,kA,k3,0
44270.83,13,0.378242152,2,421.74,kOT,48,10742.63,kC,kM,385,kM,1115,1500,15000,kS,2,k0,k2,44270.83,33528.2,1471,k08,k10,kD,21.54,14.69,49,kR,kN,k4,0
11040,3,0.26094495,0,174.58,kOT,28,0,kS,kM,155,kM,669.03,824.03,5000,kS,1,k0,k3,11040,11040,1100,k28,k10,kD,0.71,14.69,28,kR,kF,k3,0
12694,6,0.081903748,2,90.76,kOT,32,4174.26,kC,kM,754,kF,1108.13,1862.13,1000,kS,5,k0,k3,12694,8519.74,373,k29,k10,kD,981.34,14.69,34,kR,kF,k3,0
3500,6,0.526525822,0,112.15,kOT,39,31,kS,kM,202,kF,213,415,2300,kS,2,k0,k9,3500,3469,735,k29,k17,kD,3.23,14.69,39,kO,kF,k3,0
99475.5,-2,0.41190577,0,204.4,kOT,34,19579.52,kC,kM,603.77,kF,496.23,1100,6000,kS,4,k0,k7,99475.5,79895.98,1105,k72,k17,kD,5.1,13,37,kO,kF,k3,0
12500,-1,1.0752,0,504,kOT,55,1111,kC,kM,387,kF,468.75,480,500,kS,12,k0,k1,12500,11389,21,k107,k10,kD,87.16,13.5,58,kO,kF,k3,0
72140,10,0.283598131,0,121.38,kOT,61,1816,kC,kM,290,kF,428,718,2500,kS,2,k0,k8,72140,70324,727,k26,k17,kD,5.1,14.69,62,kO,kN,k3,0
5000,3,0.339277709,0,272.44,kOT,23,4740,kS,kM,697,kF,803,1500,5000,kU,1,k0,k9,5000,260,635,k80,k17,kD,5.13,14.69,24,kO,kF,k4,0
17350,1,0.507317365,2,423.61,kOT,31,4322.38,kC,kM,652,kM,835,1487,15000,kS,2,k0,k9,17350,13027.62,1481,k17,k17,kD,0.11,14.69,30,kR,kF,k4,1
3000,2,0.344273381,0,239.27,kOT,22,0,kS,kM,140,kM,695,835,8500,kP,2,k0,k1,3000,3000,1473,k29,k10,kD,17.67,14.69,22,kR,kF,k4,0
85000,0,0.132099099,0,146.63,kOT,64,0,kC,kM,477,kF,1110,1587,3000,kS,1,k0,k1,85000,85000,742,k26,k10,kD,889.9,14.69,67,kO,kN,k3,0
39134.41,5,0.374978903,2,355.48,kOT,29,7767.14,kC,kM,280,kM,948,1228,13000,kU,3,k0,k3,39134.41,31367.27,1481,k21,k10,kD,183.6,13,30,kO,kF,k3,0
8000,6,0.584835526,2,177.79,kOT,26,555,kC,kM,421,kF,304,725,3000,kS,3,k0,k9,8000,7445,599,k72,k17,kD,3.34,13,27,kO,kA,k3,0
12766,2,0.596487696,1,266.63,kOT,24,9549,kC,kM,617,kF,447,1064,9500,kU,1,k0,k9,12766,3217,1466,k09,k17,kD,10.78,14.69,25,kO,kA,k4,0
79570.19,2,0.394421222,1,245.33,kOT,40,1857.35,kD,kM,409,kF,622,1031,5000,kU,1,k0,k9,79570.19,77712.84,750,k122,k17,kD,0,14.69,39,kO,kN,k4,0
125448,5,0.250294118,0,136.16,kOT,30,13134,kS,kM,500,kF,544,1044,3900,kS,3,k0,k9,125448,112314,1100,k15,k17,kD,56.45,14.69,32,kO,kN,k3,0
19000,2,0.284255663,3,175.67,kOT,36,14416,kC,kM,1132,kM,618,1750,5000,kP,4,k0,k1,19000,4584,1115,k06,k10,kI,233.22,14.69,37,kR,kN,k3,0
75721.52,17,0.459153343,1,146.75,kOT,42,3663.21,kC,kM,542,kF,319.61,861.61,4200,kP,3,k0,k3,75721.52,72058.31,1105,k22,k17,kD,67.55,14.69,43,kR,kN,k3,0
34140.84,2,0.429862445,0,279.69,kOT,56,3011.21,kC,kM,650.1,kF,650.65,1300.75,10000,kP,1,k0,k9,34140.84,31129.63,1459,k42,k17,kD,5.1,14.69,55,kO,kN,k4,0
33129.84,10,12.90366667,0,10064.86,kOT,48,0,kC,kM,220,kM,780,1000,10000,kS,2,k0,k1,33129.84,33129.84,17,k03,k10,kD,14.77,13.5,47,kO,kF,k3,0
116591.98,1,0.296214068,0,330.88,kOT,53,13852.83,kC,kM,1213.75,kF,1117.03,2330.78,330,kS,4,k0,k7,116591.98,102739.15,7,k26,k17,kD,436.29,13.5,55,kO,kN,k3,0
32990,5,0.374997767,0,209.95,kOT,24,0,kS,kM,652.55,kM,559.87,1212.42,6000,kS,1,k0,k3,32990,20464.38,1105,k28,k10,kD,0.75,14.69,23,kO,kF,k3,1
63717.9,6,0.301157661,0,272.37,kOT,58,20000,kC,kM,790,kM,904.41,1694.41,10000,kS,1,k0,k6,63717.9,43717.9,1470,k08,k10,kD,30.95,13,57,kO,kN,k3,0
139206.42,32,0.317361954,0,269.38,kOT,79,0,kC,kM,510,kM,848.81,1358.81,9650,kU,1,k0,k3,139206.42,139206.42,1472,k26,k10,kD,22700.28,14.69,78,kO,kN,k3,0
75775,4,0.421041199,1,562.09,kOT,34,9007.68,kS,kM,665,kM,1335,2000,20000,kP,2,k0,k6,75775,66767.32,1469,k25,k10,kI,3.65,14.69,36,kO,kN,k3,0
256473.49,19,0.242552011,1,174.88,kOT,51,3890.84,kD,kM,681,kF,721,1402,5000,kU,1,k0,k2,256473.49,252582.65,1104,k29,k10,kD,12.66,14.69,53,kO,kN,k3,0
35646,6,0.333944637,0,193.02,kOT,57,567,kS,kM,740,kF,578,1318,5650,kS,1,k0,k1,35646,35079,1113,k09,k10,kD,101.58,13,56,kO,kN,k3,0
11720,3,0.482199466,1,541.51,kOT,42,1102,kC,kM,371,kF,1123,1494,20000,kU,2,k0,k6,11720,10618,1454,k29,k10,kD,271.16,13,41,kO,kF,k3,0
78839,24,0.404193548,2,125.3,kOT,51,13914,kC,kM,1183,kM,310,1493,2000,kU,1,k0,k6,78839,64925,552,k29,k10,kD,8.72,14.69,50,kO,kN,k3,0
134814.77,3,0.174761905,1,124.78,kOT,33,70841.67,kC,kM,230,kF,714,944,2000,kU,1,k0,k2,134814.77,63973.1,543,k76,k10,kD,432.8,14.69,35,kO,kF,k3,0
7756.48,4,0.353306667,1,132.49,kOT,30,5152.37,kS,kM,640,kF,375,1015,1000,kU,1,k0,k2,7756.48,2604.11,250,k23,k10,kD,3.6,14.69,32,kO,kF,k3,0
123231.34,2,0.36767698,2,701.16,kOT,31,11977,kC,kM,806,kF,1907,2713,25000,kU,1,k0,k6,123231.34,111254.34,1464,k12,k10,kD,12.1,14.69,30,kO,kN,k3,1
12114,4,0.46542391,0,122.09,kOT,31,8775,kS,kM,537.68,kM,262.32,800,2500,kU,1,k0,k2,12114,3339,740,k80,k10,kD,10.56,14.69,31,kO,kF,k3,0
10000,2,0.336741036,0,422.61,kOT,29,8482,kC,kM,441,kM,1255,1696,15000,kU,1,k0,k6,8482,0,1475,k29,k10,kD,0.38,14.69,28,kO,kF,k3,0
60069,4,0.454696087,2,546.09,kOT,44,5731,kC,kM,404,kM,1201,1605,20000,kS,1,k0,k6,60069,54338,1477,k83,k10,kD,3472.38,13,43,kO,kN,k3,0
15550,2,0.226449633,1,126.18,kOT,31,10900,kC,kM,1320,kM,557.21,1877.21,2000,kU,1,k0,k6,15550,4650,569,k29,k10,kD,5.1,14.69,31,kO,kA,k3,0
5000,1,0.488601194,0,224.18,kOT,27,3700,kS,kM,310,kF,458.82,768.82,8000,kU,1,k0,k6,5000,1300,1462,k110,k10,kD,0.11,14.69,26,kO,kF,k4,1
23990,18,0.428313641,2,272.96,kOT,45,10100,kC,kM,828.74,kM,637.29,1466.03,10000,kU,1,k0,k6,23990,13890,1476,k29,k10,kD,64.84,13,44,kO,kF,k3,0
3000,1,0.128475022,0,146.59,kOT,27,0,kS,kM,260,kF,1141,1401,4200,kU,1,k0,k1,3000,3000,1099,k20,k17,kD,6464.73,14.69,30,kR,kF,k3,0
68702,14,0.24811219,1,230,kOT,45,8395,kC,kM,496,kM,927,1423,6750,kU,1,k0,k4,68702,60307,1099,k29,k10,kD,165,13,47,kO,kN,k3,0
30000,-1,0.756056164,0,343,kOT,35,17700,kD,kM,639,kM,453.67,1092.67,10000,kU,1,k0,k4,30000,12300,1111,k23,k10,kD,3.6,13,36,kO,kN,k3,1
3000,0,0.564856322,1,196.57,kOT,30,0,kS,kM,232,kM,348,580,7000,kU,2,k0,k6,3000,3000,1467,k08,k10,kD,5.11,14.69,32,kO,kF,k4,0
169905.74,28,0.345271605,0,279.67,kOT,57,0,kS,kM,230,kM,810,1040,10000,kP,1,k0,k6,169905.74,169905.74,1458,k13,k10,kD,55.18,14.69,59,kO,kN,k3,0
5000,2,0.479062842,0,157.65,kOT,30,546,kD,kM,178.78,kF,329.08,507.86,2500,kU,1,k0,k7,5000,4454,568,k110,k17,kD,48.25,14.69,29,kO,kF,k3,0
366227.14,5,3.900618098,0,3048.06,kOT,56,2154.53,kC,kM,1189.8,kM,781.43,1971.23,3000,kS,1,k0,k9,366227.14,364072.61,42,k23,k17,kD,190.45,13.5,58,kO,kN,k3,0
224447.69,5,0.431008418,0,270.85,kOT,37,115300,kC,kM,2291,kF,628.41,2919.41,10000,kU,1,k0,k6,224447.69,109147.69,1455,k09,k10,kD,9.53,13,39,kO,kN,k3,0
80008.75,2,0.339451982,0,140.36,kOT,60,2834.14,kS,kM,225,kF,413.49,638.49,4000,kS,1,k0,k2,80008.75,77174.61,1112,k10,k10,kD,112.13,14.69,61,kO,kN,k3,0
138736.25,16,0.184925847,0,174.57,kOT,76,536.95,kD,kM,288,kF,944,1232,5000,kS,1,k0,k2,138736.25,138199.3,1115,k26,k10,kD,62.58,14.69,75,kO,kN,k3,0
24161.87,2,0.212259542,1,139.03,kOT,28,0,kS,kM,245,kM,655,900,3500,kS,1,k0,k2,24161.87,24161.87,927,k08,k10,kD,0.95,13,29,kO,kN,k3,0
3000,13,0.553597561,0,90.79,kOT,59,0,kC,kM,170,kM,164,334,1000,kP,1,k0,k2,3000,3000,378,k129,k10,kD,286.01,14.69,59,kO,kS,k3,0
97163,10,2.750208333,0,1056.08,kOT,63,416,kV,kM,256,kF,384,640,1000,kS,1,k0,k2,97163,96747,147,k85,k10,kI,81.05,13.5,63,kO,kN,k3,0
26642.32,15,0.347085714,0,121.48,kOT,55,1141.91,kC,kM,250,kM,350,600,2500,kP,1,k0,k2,26642.32,25500.41,727,k08,k10,kD,14.72,14.69,58,kO,kN,k3,0
